store_id,Date,Total_Sales,Free Delivery_Require Purchase,Free Delivery_Product,Free Delivery_Promo_Active,Overall Discount_Require Purchase,Overall Discount_Product,Overall Discount_Promo_Active,Product Discount_Require Purchase,Product Discount_Product,Product Discount_Promo_Active,Free Product_Require Purchase,Free Product_Product,Free Product_Promo_Active,Points Bonus_Require Purchase,Points Bonus_Product,Points Bonus_Promo_Active
14,2024-08-20,828.2,,,0,,,0,No,Confetti Cookie,1,,,0,No,Points,1
14,2024-08-21,774.95,,,0,,,0,No,Confetti Cookie,1,,,0,No,Points,1
14,2024-08-22,839.44,,,0,,,0,No,Confetti Cookie,1,,,0,No,Points,1
14,2024-08-23,854.51,,,0,,,0,No,Confetti Cookie,1,,,0,No,Points,1
14,2024-08-24,613.75,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-25,549.89,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-26,1119.61,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-27,1438.03,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-28,922.32,,,0,,,0,No,Ice Cream,1,,,0,No,Points,1
14,2024-08-29,1342.22,Yes,Delivery,1,,,0,,,0,,,0,No,Points,1
14,2024-08-30,1423.18,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-31,923.71,,,0,,,0,,,0,,,0,No,Points,1
14,2024-09-01,1033.21,,,0,,,0,,,0,,,0,No,Points,1
14,2024-09-02,736.95,,,0,,,0,No,Classic Cookie,1,,,0,,,0
14,2024-09-03,1291.35,,,0,,,0,,,0,,,0,,,0
14,2024-09-04,1333.0,,,0,,,0,,,0,,,0,,,0
14,2024-09-05,1503.96,,,0,,,0,,,0,,,0,,,0
14,2024-09-06,1312.85,,,0,,,0,,,0,,,0,,,0
14,2024-09-07,1096.6,,,0,,,0,,,0,,,0,,,0
14,2024-09-08,1341.4,,,0,,,0,,,0,,,0,,,0
14,2024-09-09,1309.65,,,0,,,0,,,0,,,0,,,0
14,2024-09-10,1417.39,,,0,,,0,,,0,,,0,,,0
